Model,Accuracy (%),Precision (%),Recall (%),F1-Score (%),ROC-AUC
Logistic Regression,82.4,78.6,71.2,74.7,0.854
Random Forest,89.1,86.3,84.5,85.4,0.923
SVM,85.3,82.1,79.8,80.9,0.891
XGBoost,91.7,89.4,88.1,88.7,0.951
Neural Network,93.2,91.8,90.5,91.1,0.968
Ensemble (Voting),94.5,93.1,92.3,92.7,0.978
Ensemble (Stacking) - Proposed,95.8,94.9,93.7,94.3,0.987
