Strategy,Macro-F1 (%),ECE,Brier Score,AURC
Fixed Threshold,94.3,0.042,0.068,0.112
Confidence-Only Ranking,94.1,0.038,0.062,0.089
Uncertainty-Aware Decision Scoring - Proposed,94.3,0.018,0.045,0.058
