Comparison,ΔAccuracy (%),ΔF1-Score (%),ΔROC-AUC,Latency Increase (ms),p-value
Proposed vs Logistic Regression,+13.4,+19.6,+0.133,+58.2,<0.001
Proposed vs Random Forest,+6.7,+8.9,+0.064,+16.8,<0.001
Proposed vs SVM,+10.5,+13.4,+0.096,+52.4,<0.001
Proposed vs XGBoost,+4.1,+5.6,+0.036,+48.2,0.002
Proposed vs Neural Network,+2.6,+3.2,+0.019,+32.5,0.008
Proposed vs Best Bimodal (Voting),+1.3,+1.6,+0.009,+5.2,0.042
